# Wavelength, R, G, B, G2, R_err, G_err, B_err, G2_err
4.900000000000000000e+02,2.935297173312435143e-02,7.667856121779696998e-01,5.889409812050437898e-01,7.682103773076184305e-01,1.658916832766246232e-03,9.034481766324058485e-03,8.885975796720409214e-03,9.079638303229326315e-03
4.920000000000000000e+02,2.962444165879887445e-02,7.948270060169456697e-01,5.612966830612032831e-01,7.961600083532114347e-01,1.679450377310852567e-03,9.048079841578706567e-03,8.920641897628553071e-03,9.209748689567250762e-03
4.940000000000000000e+02,3.013473847048609572e-02,8.173021002691319703e-01,5.321881614357389934e-01,8.185441392448917775e-01,1.680005150766318523e-03,9.243895466529946855e-03,8.767222255301229672e-03,9.156916927585235372e-03
4.960000000000000000e+02,3.105228798927619702e-02,8.421865234664319688e-01,5.052193737584909083e-01,8.435172150921508294e-01,1.747177165183750941e-03,9.293022393302314069e-03,8.719781907963864917e-03,9.431034928834137673e-03
4.980000000000000000e+02,3.235311175372131143e-02,8.698478829210405383e-01,4.807366805727866232e-01,8.710633631071704741e-01,1.776189268645058088e-03,9.549309957982738892e-03,8.639497081287621921e-03,9.646122182856424476e-03
5.000000000000000000e+02,3.377783560233862947e-02,8.934625965130830183e-01,4.546720846375139069e-01,8.946765062026053039e-01,1.813432227213472017e-03,9.729871592043153397e-03,8.416462905578585632e-03,9.649484422916120366e-03
5.020000000000000000e+02,3.570981423211283534e-02,9.271547257097223493e-01,4.341258331838774298e-01,9.281470746014489626e-01,1.861996408659905488e-03,9.900944849093942790e-03,8.426090774202876083e-03,9.924667357193354619e-03
5.040000000000000000e+02,3.758119525110879128e-02,9.520540660081707740e-01,4.096856559188431501e-01,9.530215362994853834e-01,1.891724059196317346e-03,1.017684713362873583e-02,8.383954874683524280e-03,1.028091571627111345e-02
5.060000000000000000e+02,3.971699330765510183e-02,9.717526881553901763e-01,3.844446332822235579e-01,9.727451140045380029e-01,1.924533555465629629e-03,1.034244959498205503e-02,8.157882665359543484e-03,1.037593611428010154e-02
5.080000000000000000e+02,4.178063756578641319e-02,9.795576210127510119e-01,3.550085517906486632e-01,9.804755415295158816e-01,1.953560222226210542e-03,1.040239491304048580e-02,7.902307196087790878e-03,1.037415590279457123e-02
