# Wavelength, R, G, B, G2, R_err, G_err, B_err, G2_err
5.600000000000000000e+02,1.064913825245636242e-01,8.678008254359688145e-01,1.697600329465321078e-01,8.722605585734874989e-01,3.375045163648296865e-03,9.616064246168872301e-03,4.116802175333626225e-03,9.837617459925148203e-03
5.620000000000000000e+02,1.073935457649146663e-01,8.531359448043666083e-01,1.640886692153677440e-01,8.583784243152151605e-01,3.396708810479467846e-03,9.442967821760614444e-03,3.970747225664789104e-03,9.545073364440411282e-03
5.640000000000000000e+02,1.079371224969376958e-01,8.349514728268012664e-01,1.585186409133768348e-01,8.404246932484658039e-01,3.457948185808530639e-03,9.470018505589452434e-03,3.966833254963561886e-03,9.887009950294203126e-03
5.660000000000000000e+02,1.098508795034505992e-01,8.234269311380281176e-01,1.548139579369048335e-01,8.290981409521687162e-01,3.545739870059066469e-03,9.474164082754811880e-03,4.022789979722802590e-03,9.681228577763855911e-03
5.680000000000000000e+02,1.119404398095383002e-01,8.064365343174269007e-01,1.507407316572208222e-01,8.117842124792099545e-01,3.576663555234805506e-03,9.679628505384001158e-03,4.048161332572452857e-03,9.546111035451387838e-03
5.700000000000000000e+02,1.159997379112128885e-01,7.890024367393064786e-01,1.470992491271981006e-01,7.940830129440299423e-01,3.733722561929983964e-03,9.644396068859858312e-03,3.903568374569741165e-03,9.660171966142225633e-03
5.720000000000000000e+02,1.240456808145794648e-01,7.682151475387223316e-01,1.437089295524304478e-01,7.729342796708702501e-01,3.845782424786246389e-03,9.390921089997712398e-03,3.786570791981091338e-03,9.739156838296358226e-03
5.740000000000000000e+02,1.414677831173873357e-01,7.508761506669330288e-01,1.413428189306872862e-01,7.559103215819912291e-01,3.986982694553194498e-03,9.475186201400110156e-03,3.752552579905920303e-03,9.813204374086566262e-03
5.760000000000000000e+02,1.795591930128376534e-01,7.324607362242712139e-01,1.393078885456264793e-01,7.386400821969667518e-01,4.763413732034735108e-03,9.431011359723663612e-03,3.761615268275518391e-03,9.580457049981000797e-03
5.780000000000000000e+02,2.510989311720692174e-01,7.160673668753554377e-01,1.376524561461236473e-01,7.229880735345829423e-01,6.024253720965895738e-03,9.627581441064491860e-03,3.881012953108812450e-03,9.602841890976727274e-03
5.800000000000000000e+02,3.568138804255017171e-01,6.953833726831438744e-01,1.356498677905011996e-01,7.020744052491466602e-01,7.091665413933564976e-03,9.503047207754597089e-03,3.945291962244708468e-03,9.542369997613190172e-03
5.820000000000000000e+02,4.841917186786852123e-01,6.752329695135531606e-01,1.337447864748891047e-01,6.805681876784365203e-01,8.238667857945535661e-03,9.353939925392447050e-03,4.012277171243144522e-03,9.372001938904150203e-03
5.840000000000000000e+02,5.996627831025975741e-01,6.538973050660401576e-01,1.311202624838604114e-01,6.587574157643439898e-01,8.970962280325156177e-03,9.234873655635102846e-03,4.035999373599494407e-03,9.381898752077033957e-03
5.860000000000000000e+02,6.865293799314888812e-01,6.318333661165013160e-01,1.283151783261595735e-01,6.378816280159648189e-01,9.445274693853223172e-03,9.117632986125395397e-03,4.019285169781964574e-03,9.161271975820497668e-03
5.880000000000000000e+02,7.412286412950628289e-01,6.089038911527457909e-01,1.254952782709484738e-01,6.165649923177587421e-01,9.785160436419554353e-03,9.157480525938319765e-03,3.857962424572826919e-03,9.091900425011978717e-03
5.900000000000000000e+02,7.711489581708181884e-01,5.823382268957422170e-01,1.221326006529926816e-01,5.903601261289813662e-01,1.010520386593544845e-02,9.061176827746507401e-03,3.806372417700514509e-03,8.969401782556205710e-03
5.920000000000000000e+02,7.841288172114421196e-01,5.553557297614328814e-01,1.186293316748125021e-01,5.623824429971573391e-01,1.027007985501966411e-02,8.857693703654564987e-03,3.763976576617275669e-03,8.882568611718393362e-03
5.940000000000000000e+02,7.865040888959630161e-01,5.259571667808010664e-01,1.143599899011579629e-01,5.318655488084158556e-01,1.050475909168983521e-02,8.716316096033419059e-03,3.811722597918531120e-03,8.915401805210970698e-03
5.960000000000000000e+02,7.851608477363376526e-01,4.949741590062609053e-01,1.097145396347323082e-01,5.003754007978650220e-01,1.055924625120171004e-02,8.695555272392040125e-03,3.982966954947403382e-03,8.795853554344963340e-03
5.980000000000000000e+02,7.823640226104706663e-01,4.640953391140446027e-01,1.045974934757542968e-01,4.694902042964690936e-01,1.091939957399502489e-02,8.680113921068075694e-03,4.055969918801720017e-03,8.717432113964886792e-03
6.000000000000000000e+02,7.799148229378995989e-01,4.401618351151828645e-01,9.977694198629866174e-02,4.458810079302577001e-01,7.268534454879009565e-03,5.837715936047981578e-03,2.558682608222858420e-03,5.879492149855335657e-03
6.020000000000000000e+02,7.676829725796676662e-01,4.053434935691916374e-01,9.418414318822944387e-02,4.115987180525422784e-01,7.108836492749666912e-03,5.609272564920208051e-03,2.514988936209432580e-03,5.687812260837549032e-03
6.040000000000000000e+02,7.488206196068148968e-01,3.692699181182068635e-01,8.861665388209326311e-02,3.755925924715164954e-01,7.074117507314213633e-03,5.397140577589383363e-03,2.516362510665800297e-03,5.458657563810563780e-03
6.060000000000000000e+02,7.281001171615100187e-01,3.342522010249915909e-01,8.297661501124618810e-02,3.399601254745355239e-01,7.053340413764145299e-03,5.212470629410776400e-03,2.473180018780491655e-03,5.317877497302080959e-03
6.080000000000000000e+02,7.070217106268866791e-01,3.011086869521258369e-01,7.758974810701603497e-02,3.058239871546309385e-01,7.059946662165898605e-03,5.081885904178711465e-03,2.375058919716158904e-03,5.101185597550299440e-03
6.100000000000000000e+02,6.918717414467405735e-01,2.731181285078942422e-01,7.294937767224941860e-02,2.771154441623661091e-01,7.048627028806190957e-03,4.846332309351992010e-03,2.332266798202647581e-03,4.882021496096069016e-03
6.120000000000000000e+02,6.782249839829519455e-01,2.470792946039438998e-01,6.871581793657048631e-02,2.510461310188927264e-01,7.060250515022920698e-03,4.738318615846417309e-03,2.301291738585738156e-03,4.795071584026990540e-03
6.140000000000000000e+02,6.652862512938436668e-01,2.228286931918940228e-01,6.478209325249258133e-02,2.267561871164929244e-01,6.801971229903428298e-03,4.462528219972859700e-03,2.292274853513332888e-03,4.444815223918098870e-03
6.160000000000000000e+02,6.517287582975921367e-01,1.994562712166002560e-01,6.085997410039743760e-02,2.039947167136681450e-01,6.774010052509890113e-03,4.296226124075807999e-03,2.295192343962269843e-03,4.347148342743019193e-03
6.180000000000000000e+02,6.340332610707375416e-01,1.772288679610099504e-01,5.689294225571086411e-02,1.813725625147401543e-01,6.772894820139494301e-03,4.076900736673748533e-03,2.264462758360271354e-03,4.136954445352027804e-03
6.200000000000000000e+02,6.123182278763976694e-01,1.580162753896318661e-01,5.356890387044498103e-02,1.618756706774920895e-01,6.708951283535134064e-03,3.777364092648434132e-03,2.240165069602925978e-03,3.870005236104353662e-03
6.220000000000000000e+02,5.848896672361868498e-01,1.410192386722998181e-01,5.074562110258810238e-02,1.441733111751053453e-01,6.587154553619972361e-03,3.787782303466872679e-03,2.246945998928030763e-03,3.854750775961218127e-03
6.240000000000000000e+02,5.583342783041121971e-01,1.266376227415533517e-01,4.857850251073594916e-02,1.291903072916844863e-01,6.537421976334386459e-03,3.561342773627975810e-03,2.258414568528621137e-03,3.589041854662785268e-03
6.260000000000000000e+02,5.323967131569320443e-01,1.148002098388677950e-01,4.672167185171652998e-02,1.172796578461231670e-01,6.333949171030866729e-03,3.237737533016846452e-03,2.290109602478924630e-03,3.287942067351812356e-03
6.280000000000000000e+02,5.120709354954627868e-01,1.048746544956427884e-01,4.524742213988677819e-02,1.073834343123355878e-01,6.277167334727376188e-03,3.181807879609422664e-03,2.295003506974974475e-03,3.211483291494187948e-03
6.300000000000000000e+02,4.946874999770604076e-01,9.555355270123691569e-02,4.366982278292905889e-02,9.797197324761662551e-02,6.221111188120998468e-03,3.171526154883744317e-03,2.256025153262941011e-03,3.218670251603108438e-03
6.320000000000000000e+02,4.790908570333650141e-01,8.698056623562128165e-02,4.224737760713610096e-02,8.930764370986392364e-02,6.213907087895127225e-03,3.164237221819554777e-03,2.255163437922266291e-03,3.113154440651993548e-03
6.340000000000000000e+02,4.593309644405959569e-01,7.870481102697743370e-02,4.084952627025545402e-02,8.085363706683225404e-02,6.048073085187065032e-03,2.983736538296891290e-03,2.224694254384269442e-03,2.991249723476051281e-03
6.360000000000000000e+02,4.366375070154020488e-01,7.187904825808562326e-02,3.983591949666198673e-02,7.367013655278123463e-02,5.954052583010410390e-03,2.795878374073470889e-03,2.228767741090940772e-03,2.836376960107056620e-03
