# Wavelength, R, G, B, G2, R_err, G_err, B_err, G2_err
5.220000000000000000e+02,7.983651190717698520e-02,9.968737078151439501e-01,2.273493332491676733e-01,9.966358816810361176e-01,1.579032882045420388e-03,6.602108854300211063e-03,3.168890355826945327e-03,6.766619142692236258e-03
5.240000000000000000e+02,8.534524408362501036e-02,1.000000000000000000e+00,2.105453652372154816e-01,9.996947140276269961e-01,1.656896353294490384e-03,6.602797877492820253e-03,3.033393747735537230e-03,6.712740053695205426e-03
5.260000000000000000e+02,8.910276803045914795e-02,9.983831334318942208e-01,1.952683765918124814e-01,9.984627766133676863e-01,1.693862330879489578e-03,6.600646034918801301e-03,2.906707239163146012e-03,6.642006591149908316e-03
5.280000000000000000e+02,9.053165235493981777e-02,9.971235981566157758e-01,1.825573889942993244e-01,9.972737395160247154e-01,1.736235691365674381e-03,6.530028484126099673e-03,2.799820445559787156e-03,6.545490960637588736e-03
5.300000000000000000e+02,8.958673679178107141e-02,9.949994346538416634e-01,1.715531367257196182e-01,9.949885963826589075e-01,1.716688409155293698e-03,6.478083071125149972e-03,2.667493086678512405e-03,6.619222522198170248e-03
5.320000000000000000e+02,8.703166402888852515e-02,9.998887021605949998e-01,1.633784113577282093e-01,9.999811823155748680e-01,1.704607935891324635e-03,6.633261012320167994e-03,2.592314206303275755e-03,6.688082743838682197e-03
5.340000000000000000e+02,8.153817957172863895e-02,9.938048136288912815e-01,1.542946903043840856e-01,9.940643422609778401e-01,1.663445182036089268e-03,6.592253543787281872e-03,2.523376657189847164e-03,6.614098159298665083e-03
5.360000000000000000e+02,7.498221799031146162e-02,9.853016749917987704e-01,1.458188130547950490e-01,9.856179197119658841e-01,1.594138347986946485e-03,6.624125628868862171e-03,2.413465088766389693e-03,6.824926490895156378e-03
5.380000000000000000e+02,6.797058287337742755e-02,9.757730171723041357e-01,1.377391293862429145e-01,9.759610665108355843e-01,1.516435037614226409e-03,6.664261689695347157e-03,2.308920247113733018e-03,6.789186183999353086e-03
5.400000000000000000e+02,6.157581456614000942e-02,9.706975792101142364e-01,1.304387496774817579e-01,9.708913410824203671e-01,1.414597070436113182e-03,6.776914110866596487e-03,2.238174545688148206e-03,6.844314373694105821e-03
5.420000000000000000e+02,5.538075154324965943e-02,9.536820431928018094e-01,1.218377607020311171e-01,9.540424842574480868e-01,1.345433976532133197e-03,6.956137661451007939e-03,2.120132699636541242e-03,7.055254225159417539e-03
5.440000000000000000e+02,5.030028817244783235e-02,9.382789903910847551e-01,1.135770697375105137e-01,9.386206759685205014e-01,1.282098840889951382e-03,6.979038118870713528e-03,2.006999342056680919e-03,7.021113115454278783e-03
5.460000000000000000e+02,4.676489647926485027e-02,9.325821658591153529e-01,1.059906745017497043e-01,9.330604392383160528e-01,1.241834716730265886e-03,7.004820446418902856e-03,1.960249576429954829e-03,7.117891320620783717e-03
5.480000000000000000e+02,4.452451953617572039e-02,9.343760066658594043e-01,9.908391530564911176e-02,9.346740113719611553e-01,1.213440896905972977e-03,7.202663405615606848e-03,1.900056436952219860e-03,7.288792825720775276e-03
5.500000000000000000e+02,4.297746505484193597e-02,9.282692368012940287e-01,9.184261061239995527e-02,9.285798602113106703e-01,1.183158827262814150e-03,7.493995145181750125e-03,1.791816194043119358e-03,7.533941041021819350e-03
5.520000000000000000e+02,4.166126734820065070e-02,9.083181235974845391e-01,8.349454458853990124e-02,9.087871462382201004e-01,1.170009249920916277e-03,7.475374825707989737e-03,1.709830427752683174e-03,7.581015686334497024e-03
5.540000000000000000e+02,4.088969742559265402e-02,8.925851017679818922e-01,7.528619869696499822e-02,8.931998581293949524e-01,1.145195457018296148e-03,7.307093844735547752e-03,1.582694477340559165e-03,7.413009296287958495e-03
5.560000000000000000e+02,4.124303675124962876e-02,8.900537847924271384e-01,6.877607593973218691e-02,8.907350505740965207e-01,1.149103602295302234e-03,7.577302808794022376e-03,1.515290008111750504e-03,7.677149104971798046e-03
5.580000000000000000e+02,4.210967468183277052e-02,8.859459992212908030e-01,6.346275430733261391e-02,8.865827523542056943e-01,1.172300713415770938e-03,7.502900704890369012e-03,1.451011618556769921e-03,7.530459563100182566e-03
5.600000000000000000e+02,4.271198361528275034e-02,8.623399698272709024e-01,5.788709507414526584e-02,8.631759881235669951e-01,7.544808221312657073e-04,5.190482698578754474e-03,8.954380778806799064e-04,5.214225469856752747e-03
5.620000000000000000e+02,4.272918047844632972e-02,8.371406469130232564e-01,5.214113719055056551e-02,8.379428340987619128e-01,7.501469128537522615e-04,4.903883773613297060e-03,8.485494539226559564e-04,4.944756552899308606e-03
5.640000000000000000e+02,4.365230666145014649e-02,8.173294224748323122e-01,4.762711484436574216e-02,8.181088596433757631e-01,7.515383370554261583e-04,4.691131273728829827e-03,7.978243370113792358e-04,4.792220895091918800e-03
5.660000000000000000e+02,4.643971697463064596e-02,8.105845192233118723e-01,4.498838085191868286e-02,8.115128610851235491e-01,7.835850884993620811e-04,4.876696672703581883e-03,7.749744623004046606e-04,4.915427854078324547e-03
5.680000000000000000e+02,5.039638116975829474e-02,7.983288631298834925e-01,4.294785737169623530e-02,7.993078427970463640e-01,8.213826276801493428e-04,4.755789970053963221e-03,7.554733728797590744e-04,4.806402213726104940e-03
5.700000000000000000e+02,5.666665938419118004e-02,7.810235347779864723e-01,4.105451388532186524e-02,7.819393703921153627e-01,8.899549281353144646e-04,4.639303420776941071e-03,7.453767853267935723e-04,4.707954910089102475e-03
5.720000000000000000e+02,6.798655809118257787e-02,7.537919019245543639e-01,3.884951276860160868e-02,7.547644653327771902e-01,9.878569107161867726e-04,4.438428844661630908e-03,7.161389635883680122e-04,4.489039151429580904e-03
5.740000000000000000e+02,9.288489735047392171e-02,7.303484200229325429e-01,3.726537639034697286e-02,7.315979627091063753e-01,1.200224158463084403e-03,4.180660076530270074e-03,6.890397582340807882e-04,4.208499759317281021e-03
5.760000000000000000e+02,1.441929013922076397e-01,7.140679213099803135e-01,3.641857574776059814e-02,7.157033885321311129e-01,1.600040897481211366e-03,4.242279006191158539e-03,6.883106124133804527e-04,4.284062939123921797e-03
5.780000000000000000e+02,2.311378865769712632e-01,7.055916865374708413e-01,3.611065755848538728e-02,7.075979036111117448e-01,2.068702317907755630e-03,4.213757907308709333e-03,6.928483546637812310e-04,4.218062233801143229e-03
5.800000000000000000e+02,3.436209403327811773e-01,6.904827547989682568e-01,3.552920717629008684e-02,6.930656442277238760e-01,2.612311847239995148e-03,3.808627009828723532e-03,6.834936770961552634e-04,3.842969216575643169e-03
5.820000000000000000e+02,4.631675316685027188e-01,6.613023439596191766e-01,3.438611601959115638e-02,6.648769006953890726e-01,2.992174678769640109e-03,3.910131448207017357e-03,6.713268000633576624e-04,3.940445471098067559e-03
5.840000000000000000e+02,5.683533469835324592e-01,6.233496260240419806e-01,3.298610752898942927e-02,6.278625206906245371e-01,3.102210236833029093e-03,3.775617644228969859e-03,6.612775938789338141e-04,3.834530808617140317e-03
5.860000000000000000e+02,6.527588332777236602e-01,5.914884576633323565e-01,3.166593398394293435e-02,5.965374072439899589e-01,3.242283742508055792e-03,3.612055659386802838e-03,6.504302742269391351e-04,3.613611611990074583e-03
5.880000000000000000e+02,7.111407219100652766e-01,5.730879623110267662e-01,3.090745276988078258e-02,5.783495179574539291e-01,3.289581477660052759e-03,3.891535789456673430e-03,6.407325459296393626e-04,3.857079563126015673e-03
5.900000000000000000e+02,7.418624823945032531e-01,5.544436499647105165e-01,3.006375350669037577e-02,5.603985083759620567e-01,3.354232319736330254e-03,3.703794863739324258e-03,6.362424357548555637e-04,3.728170603482548490e-03
5.920000000000000000e+02,7.573280065805522154e-01,5.287635287189617062e-01,2.896701201251323382e-02,5.354942384666511179e-01,4.430602625347661305e-03,4.804258456088480837e-03,7.934914427450911415e-04,4.836593923752095792e-03
5.940000000000000000e+02,7.611703791956897502e-01,4.913766024325930126e-01,2.742023411734484037e-02,4.983281655466036408e-01,4.403632868253018300e-03,5.058601900123731870e-03,7.703661902461407572e-04,5.104228836778400627e-03
5.960000000000000000e+02,7.564036634885460408e-01,4.549141677335076794e-01,2.603630628250953524e-02,4.616087823024388470e-01,4.342819186417593534e-03,4.788496677798907870e-03,7.416772937506470103e-04,4.840251648583850964e-03
5.980000000000000000e+02,7.413532457560778610e-01,4.234434836768732890e-01,2.473415995596126710e-02,4.299003397394208781e-01,4.251278317898580551e-03,4.599280216318967808e-03,7.208906590825107539e-04,4.624160481846265568e-03
6.000000000000000000e+02,7.289038080847719536e-01,3.975355237226229077e-01,2.372056123791138615e-02,4.041309233481091279e-01,3.061712562462307486e-03,3.318448537765416283e-03,4.856824078929249241e-04,3.333138951909147239e-03
